Time,Duration
0,152.94
0,167.27
0,147.85
0,148.35
1,155.68
1,153.88
1,151.39
1,149.02
1,148.29
1,151.52
1,148.54
1,147.98
1,151.54
1,150.44
2,156.30
2,152.03
2,152.92
2,166.73
2,150.46
2,152.72
2,155.63
2,168.94
2,158.38
2,161.45
3,165.97
3,160.67
3,162.96
3,157.16
3,159.58
3,158.37
3,157.69
3,163.36
3,157.48
3,163.27
4,156.89
4,158.39
4,158.41
4,159.09
4,156.77
4,159.48
4,158.58
4,155.82
4,163.83
4,160.00
5,170.86
5,155.90
5,163.28
5,155.83
5,159.35
5,155.92
5,158.31
5,149.46
5,176.81
5,155.04
6,158.01
6,155.61
6,160.75
6,158.93
6,159.54
6,156.92
6,155.98
6,158.61
6,157.27
7,247.98
7,223.87
7,189.32
7,227.67
7,175.87
7,156.34
7,160.49
7,159.28
7,155.89
7,156.22
7,155.39
8,158.78
8,155.43
8,155.49
8,160.89
8,154.28
8,158.33
8,158.65
8,162.82
8,158.54
8,155.18
9,158.42
9,155.82
9,154.71
9,156.01
9,154.72
9,156.64
9,157.64
9,158.36
9,155.78
9,152.14
10,159.62
10,154.61
10,157.35
10,159.22
10,162.21
10,154.03
10,156.35
10,153.44
10,153.45
10,153.51
11,153.99
11,152.24
11,151.49
11,153.80
11,152.67
11,154.06
11,157.46
11,157.17
11,158.68
11,158.53
12,156.10
12,153.77
12,157.88
12,155.32
12,155.57
12,155.62
12,154.90
12,155.79
12,158.52
12,155.86
13,157.63
13,154.99
13,155.26
13,156.18
13,157.16
13,155.57
13,155.18
13,159.06
13,154.13
13,153.59
14,156.15
14,154.47
14,154.63
14,162.43
14,155.64
14,157.03
14,159.30
14,154.55
14,168.05
14,154.47
15,154.32
15,160.28
15,155.27
15,156.37
15,153.97
15,153.88
15,152.49
15,165.92
15,158.25
15,159.44
16,155.79
16,155.26
16,156.58
16,156.24
16,158.87
16,164.56
16,154.72
16,158.59
16,155.34
16,156.26
17,158.56
17,156.82
17,157.84
17,155.71
17,153.55
17,158.88
17,155.75
17,159.45
17,156.55
17,159.60
18,155.87
18,155.23
18,158.69
18,155.44
18,160.18
18,155.46
18,158.98
18,157.03
18,156.41
18,163.32
19,156.67
19,159.57
19,157.49
19,164.33
19,167.83
19,162.95
19,158.36
19,158.31
19,156.70
19,155.39
20,163.70
20,155.28
20,160.63
20,154.63
20,159.46
20,155.40
20,161.64
20,154.33
20,158.06
20,154.86
21,164.77
21,161.18
21,171.77
21,155.22
21,167.55
21,160.36
21,156.75
21,160.03
21,161.11
22,252.51
22,221.38
22,165.98
22,165.13
22,163.39
22,156.55
22,155.17
22,158.58
22,154.66
22,154.45
22,152.59
23,157.78
23,154.78
23,155.71
23,155.11
23,155.27
23,154.76
23,154.84
23,158.51
23,153.64
23,159.30
24,161.87
24,155.73
24,156.39
24,155.37
24,154.46
24,154.40
24,151.17
24,154.61
24,152.73
24,151.69
25,154.64
25,153.06
25,153.83
25,155.19
25,152.58
25,151.51
25,156.35
25,157.04
25,156.87
25,156.26
26,159.61
26,155.62
26,156.78
26,158.83
26,155.81
26,154.21
26,156.00
26,155.49
26,154.54
26,155.51
27,155.68
27,153.04
27,155.82
27,154.67
27,153.43
27,156.70
27,155.24
27,153.28
27,156.71
27,155.18
28,156.56
28,157.44
28,155.46
28,155.13
28,156.41
28,154.75
28,153.35
28,162.88
28,155.48
28,154.67
29,157.45
29,153.61
29,155.37
29,156.40
29,156.18
29,160.02
29,159.04
29,157.26
29,157.87
29,153.00
30,157.40
30,161.60
30,160.24
30,163.61
30,162.69
30,160.38
