Time,Latency
0,157
0,171
0,151
0,151
0,159
0,157
0,154
0,152
0,151
0,154
0,152
1,151
1,154
1,153
1,159
1,155
1,156
1,169
1,157
1,156
1,159
2,172
2,165
2,165
2,169
2,163
2,166
2,161
2,163
2,161
3,161
3,166
3,161
3,166
3,160
3,161
3,162
3,162
3,160
3,162
4,162
4,160
4,168
4,164
4,173
4,159
4,166
4,160
4,162
4,159
4,163
5,215
5,180
5,173
5,162
5,158
5,163
5,162
5,162
5,160
5,159
6,162
6,162
6,251
6,227
6,243
6,257
6,222
6,216
6,185
6,178
7,159
7,159
7,159
7,162
7,161
7,159
7,164
7,160
7,161
8,164
8,166
8,161
8,158
8,162
8,159
8,158
8,160
8,160
8,161
9,161
9,161
9,159
9,156
9,164
9,160
9,160
9,164
9,165
9,157
9,159
10,157
10,159
10,157
10,159
10,156
10,156
10,157
10,157
10,157
11,161
11,161
11,162
11,161
11,159
11,158
11,163
11,160
11,159
11,161
11,160
12,162
12,161
12,159
12,160
12,161
12,160
12,159
12,162
12,160
12,159
13,162
13,159
13,157
13,161
13,160
13,160
13,167
13,160
13,160
14,165
14,159
14,171
14,160
14,157
14,164
14,161
14,159
14,158
14,159
15,158
15,171
15,163
15,162
15,158
15,158
15,162
15,161
15,162
15,168
15,158
16,161
16,160
16,159
16,162
16,162
16,161
16,159
16,158
16,164
17,161
17,162
17,159
17,163
17,161
17,158
17,162
17,161
17,164
17,161
17,162
18,162
18,160
18,167
18,162
18,162
18,160
18,167
18,173
18,166
18,161
19,161
19,161
19,158
19,167
19,160
19,163
19,160
19,162
19,160
19,165
20,158
20,161
20,160
20,168
20,167
20,175
20,158
20,170
20,166
20,160
21,163
21,166
21,256
21,224
21,224
21,191
21,190
21,159
21,158
22,163
22,158
22,157
22,159
22,163
22,161
22,159
22,160
22,160
22,158
22,160
23,163
23,159
23,162
23,167
23,158
23,159
23,160
23,157
23,157
23,156
24,159
24,157
24,157
24,160
24,158
24,157
24,158
24,157
24,157
24,161
25,162
25,160
25,159
25,163
25,167
25,160
25,162
25,161
25,158
26,161
26,161
26,158
26,160
26,160
26,158
26,160
26,159
26,158
26,161
26,160
27,158
27,161
27,160
27,160
27,160
27,160
27,161
27,161
27,158
27,156
28,168
28,161
28,157
28,160
28,159
28,158
28,161
28,161
28,163
28,162
29,160
29,161
29,158
29,162
29,165
29,166
29,166
29,165
29,163
