Time,Duration
0,152.20
0,149.09
0,148.88
0,215.39
0,149.88
0,148.94
0,151.05
1,203.61
1,151.68
1,149.07
1,147.71
1,206.28
1,149.61
1,149.11
1,152.43
2,206.59
2,1678.18
2,156.97
2,152.03
2,151.60
2,211.10
2,151.44
2,153.28
2,153.27
2,1959.24
3,205.61
3,154.45
3,1784.04
3,150.41
3,155.93
3,207.34
3,152.83
3,153.98
3,152.01
4,209.33
4,2209.60
4,1711.25
4,149.46
4,152.25
4,154.63
4,1462.66
4,204.75
4,154.45
4,209.85
5,170.42
5,189.14
5,1695.03
5,149.57
5,152.11
5,149.06
5,205.02
5,149.82
5,1762.58
5,154.47
5,149.74
6,207.15
6,1673.75
6,149.77
6,151.39
6,150.73
6,1486.46
6,207.60
6,153.79
6,151.63
6,155.04
6,1459.86
7,206.18
7,160.84
7,150.64
7,156.34
7,207.30
7,1672.69
7,155.01
7,152.15
7,154.54
8,206.80
8,1611.00
8,158.21
8,151.78
8,156.13
8,1460.16
8,210.97
8,154.13
8,155.08
8,153.81
9,207.32
9,1705.26
9,157.87
9,250.15
9,217.06
9,191.93
9,1667.60
9,189.31
9,190.05
10,149.07
10,204.07
10,150.25
10,1783.05
10,148.17
10,148.42
10,1453.00
10,207.81
10,149.19
10,150.96
10,150.38
11,1473.39
11,214.53
11,151.65
11,151.49
11,153.95
11,204.70
11,1609.19
11,151.34
11,150.84
12,156.18
12,1459.90
12,204.63
12,149.02
12,155.83
12,150.68
12,1454.97
12,205.58
12,157.06
12,151.18
12,152.59
13,1459.78
13,209.13
13,152.89
13,148.85
13,148.51
13,1451.17
13,207.35
13,150.16
13,148.11
14,156.62
14,1462.57
14,202.59
14,149.35
14,151.33
14,149.36
14,1473.74
14,202.73
14,158.91
14,148.20
14,148.56
15,1488.55
15,207.10
15,148.89
15,150.92
15,153.15
15,1456.66
15,207.93
15,153.33
15,160.72
16,152.51
16,205.14
16,1639.09
16,155.43
16,151.34
16,150.81
16,220.52
16,1692.30
16,151.46
16,151.14
17,156.53
17,206.13
17,1695.81
17,151.26
17,156.23
17,151.49
17,1490.35
17,208.48
17,211.45
17,190.31
18,153.01
18,1483.62
18,208.37
18,148.35
18,151.31
18,147.22
18,1450.36
18,204.35
18,154.38
18,149.74
18,148.10
19,1481.18
19,206.56
19,148.39
19,150.74
19,149.61
19,1491.01
19,207.24
19,159.99
19,150.72
20,152.05
20,1455.35
20,213.82
20,153.58
20,153.73
20,151.29
20,205.82
20,1609.07
20,158.07
20,153.31
21,155.34
21,205.76
21,1609.24
21,194.23
21,232.22
21,215.74
21,223.95
21,1664.80
21,237.15
22,294.64
22,1498.88
22,233.09
22,292.28
22,155.08
22,208.16
22,173.56
22,1476.46
22,196.82
22,153.18
22,151.95
22,147.87
23,205.23
23,1575.03
23,151.49
23,153.06
23,149.77
23,205.78
23,1603.26
23,149.33
23,153.50
23,148.55
24,1476.21
24,207.85
24,149.10
24,151.89
24,149.11
24,206.09
24,1612.83
24,151.51
24,152.14
25,154.92
25,209.27
25,1685.33
25,157.16
25,155.26
25,150.96
25,1454.22
25,209.33
25,153.29
25,152.80
26,149.26
26,209.47
26,1612.60
26,154.45
26,155.50
26,150.59
26,213.35
26,1617.32
26,191.41
27,264.05
27,214.59
27,240.16
27,1714.54
27,201.17
27,250.11
27,217.08
27,1577.60
27,210.31
27,153.66
27,150.54
28,148.25
28,1463.03
28,206.24
28,152.86
28,147.74
28,150.58
28,203.01
28,1574.54
28,148.14
28,148.38
29,150.94
29,207.18
29,1590.93
29,149.29
29,154.88
29,151.57
29,206.54
29,1610.15
29,154.90
29,150.64
30,151.82
30,1454.69
30,209.20
30,1551.30
31,1453.69
31,1473.19
