Time,Latency
0,161
0,152
0,151
0,218
0,170
0,151
0,153
0,206
0,160
1,151
1,150
1,209
1,160
1,151
1,155
1,209
0,1678
1,169
2,155
2,155
2,214
2,167
2,156
2,156
0,1957
2,209
3,166
1,1783
3,153
3,159
3,210
3,166
3,157
3,155
3,212
1,2208
2,1711
3,164
4,155
4,157
2,1463
4,207
4,165
4,212
4,173
4,205
3,1695
5,160
5,155
5,151
5,207
5,161
3,1762
5,157
5,152
5,210
4,1673
5,163
6,154
6,153
4,1486
6,210
6,172
6,155
6,158
5,1459
6,209
7,175
7,153
7,159
7,210
5,1672
7,168
7,155
7,157
7,209
6,1611
8,171
8,154
8,159
6,1461
8,214
8,170
8,158
8,156
8,210
7,1706
8,172
9,253
9,220
9,248
7,1668
9,240
9,193
9,192
9,206
10,160
8,1784
10,151
10,151
8,1453
10,210
10,163
10,153
10,153
9,1493
10,217
10,172
11,154
11,157
11,207
9,1609
11,164
11,153
11,159
10,1460
11,208
11,161
12,158
12,154
10,1456
12,208
12,169
12,154
12,155
11,1461
12,212
12,169
13,152
13,151
11,1452
13,210
13,163
13,151
13,159
12,1464
13,205
13,157
14,154
14,152
12,1475
14,205
14,168
14,152
14,151
13,1490
14,210
14,162
15,153
15,156
13,1457
15,210
15,167
15,163
15,155
15,208
14,1640
15,167
16,155
16,154
16,224
14,1693
16,179
16,154
16,159
16,209
15,1698
16,164
17,159
17,154
15,1492
17,212
17,227
17,193
17,183
16,1484
17,211
17,164
18,154
18,150
16,1452
18,207
18,165
18,152
18,151
17,1483
18,209
18,161
19,153
19,152
17,1492
19,210
19,174
19,153
19,155
18,1456
19,217
19,174
20,156
20,154
20,209
18,1610
20,172
20,157
20,158
20,209
19,1610
20,209
21,236
21,234
21,263
19,1666
21,306
21,299
20,1501
21,326
21,303
22,161
21,316
22,176
20,1478
22,216
22,172
22,155
22,151
22,208
21,1608
22,164
23,155
23,152
23,208
21,1610
23,163
23,156
23,151
22,1478
23,210
23,162
24,154
24,152
24,212
22,1614
24,169
24,155
24,158
24,213
23,1687
24,174
25,158
25,154
23,1455
25,212
25,169
25,156
25,152
25,212
24,1614
25,171
26,158
26,153
26,217
24,1619
26,214
26,267
26,232
26,313
25,1716
26,317
27,269
27,219
25,1579
27,230
27,186
27,155
27,151
26,1465
27,209
27,165
28,151
28,153
28,206
26,1607
28,159
28,151
28,153
28,210
27,1612
28,164
29,157
29,155
29,210
27,1612
29,169
29,154
29,155
28,1456
29,212
28,1553
29,1456
29,1476
