Time,Duration
0,218.09
0,171.50
1,194.41
1,282.64
1,158.68
1,317.64
1,270.07
1,158.88
1,184.61
1,222.48
1,155.63
1,179.97
1,205.81
2,152.97
2,182.81
2,154.40
2,186.49
2,156.01
2,196.57
2,155.61
2,202.93
2,155.56
2,155.69
3,158.12
3,156.80
3,159.63
3,157.23
3,160.20
3,156.53
3,157.99
3,154.93
3,159.17
3,153.49
4,155.65
4,154.43
4,158.20
4,157.04
4,159.58
4,159.82
4,157.57
4,157.47
4,156.40
4,158.27
5,155.23
5,153.52
5,152.62
5,151.57
5,153.18
5,155.84
5,156.64
5,161.64
5,152.00
5,156.24
6,243.88
6,195.67
6,155.93
6,152.93
6,205.76
6,153.13
6,156.17
6,153.68
6,160.70
7,218.64
7,233.51
7,157.96
7,208.02
7,192.58
7,158.58
7,202.37
7,156.52
7,157.19
7,160.24
7,158.55
8,158.98
8,157.96
8,157.82
8,154.50
8,157.14
8,157.12
8,157.85
8,156.81
8,157.02
8,158.96
9,156.39
9,159.36
9,158.71
9,162.23
9,158.51
9,158.05
9,152.53
9,156.49
9,152.59
9,152.63
10,152.83
10,154.04
10,158.01
10,153.48
10,153.90
10,156.31
10,152.60
10,159.04
10,153.27
10,152.02
11,242.10
11,196.07
11,157.29
11,158.41
11,207.01
11,153.22
11,164.59
11,157.76
11,174.85
12,159.59
12,185.93
12,159.39
12,197.33
12,153.99
12,202.99
12,154.92
12,156.12
12,164.91
12,158.69
12,173.48
13,159.03
13,182.68
13,159.77
13,193.47
13,157.75
13,201.98
13,158.84
13,163.43
13,259.74
14,160.14
14,177.64
14,155.88
14,182.34
14,160.08
14,209.27
14,154.18
14,202.16
14,165.22
14,155.84
14,172.68
15,153.70
15,175.62
15,155.53
15,181.51
15,158.63
15,194.59
15,153.39
15,201.91
15,152.27
16,154.37
16,163.62
16,188.20
16,268.92
16,159.65
16,264.18
16,228.04
16,159.26
16,199.39
16,199.17
17,157.35
17,159.28
17,206.18
17,155.68
17,168.97
17,157.16
17,179.02
17,157.99
17,190.52
17,155.89
18,200.45
18,156.65
18,161.88
18,259.94
18,156.27
18,176.41
18,156.23
18,182.57
18,155.96
18,188.73
19,154.77
19,193.70
19,155.90
19,201.12
19,155.22
19,154.42
19,152.66
19,156.91
19,150.34
19,152.52
19,154.02
20,152.87
20,156.12
20,152.02
20,154.71
20,151.03
20,160.59
20,156.45
20,157.27
20,156.66
20,155.25
21,155.38
21,245.59
21,196.97
21,166.37
21,157.58
21,269.22
21,159.48
21,182.34
21,159.26
21,193.13
22,157.88
22,204.01
22,158.63
22,164.59
22,206.43
22,156.10
22,172.15
22,155.49
22,179.63
23,154.83
23,187.85
23,156.80
23,194.41
23,156.27
23,203.27
23,155.28
23,153.35
23,165.03
23,156.27
23,182.13
24,155.98
24,193.13
24,155.68
24,200.17
24,154.04
24,201.76
24,161.45
24,153.26
24,170.42
25,156.46
25,177.68
25,158.82
25,188.93
25,158.38
25,200.07
25,159.33
25,160.95
25,261.26
25,158.26
25,179.57
26,155.89
26,286.46
26,159.44
26,263.62
26,246.40
26,158.90
26,211.84
26,206.46
26,158.28
27,205.49
27,171.28
27,154.21
27,179.99
27,152.50
27,188.38
27,158.07
27,201.24
27,153.19
27,203.17
27,158.32
28,154.08
28,164.12
28,154.80
28,169.03
28,156.09
28,178.35
28,154.23
28,183.73
28,156.25
28,189.94
29,156.85
29,198.83
29,160.76
29,160.74
29,260.98
29,159.55
29,172.80
29,161.25
29,184.11
30,158.63
30,195.89
30,155.77
30,205.59
30,156.82
30,159.19
30,170.71
30,156.85
