Time,Latency
0,222
0,334
0,211
0,313
0,320
0,371
0,273
0,359
0,284
0,224
1,232
1,182
1,383
1,284
1,185
1,288
1,189
1,246
1,198
1,304
2,205
2,157
2,162
2,160
2,159
2,162
2,159
2,162
2,159
2,160
2,157
3,162
3,155
3,157
3,156
3,161
3,159
3,162
3,162
3,160
4,160
4,159
4,161
4,158
4,155
4,154
4,153
4,155
4,158
4,159
4,164
5,154
5,158
5,297
5,199
5,355
5,155
5,256
5,258
5,159
6,262
6,163
6,315
6,236
6,385
6,295
6,196
6,305
6,205
6,159
7,164
7,163
7,161
7,161
7,160
7,160
7,157
7,159
7,159
7,160
8,159
8,159
8,161
8,159
8,162
8,161
8,165
8,161
8,160
8,154
9,158
9,154
9,154
9,154
9,156
9,162
9,155
9,156
9,158
9,154
9,161
10,155
10,154
10,298
10,199
10,160
10,360
10,262
10,266
10,167
11,277
11,178
11,288
11,188
11,299
11,201
11,306
11,257
11,158
11,216
12,167
12,276
12,176
12,284
12,185
12,295
12,196
12,304
12,205
12,315
13,167
13,267
13,230
13,180
13,284
13,185
13,306
13,211
13,315
13,267
14,168
14,225
14,175
14,278
14,178
14,283
14,184
14,295
14,197
14,303
15,257
15,158
15,266
15,166
15,306
15,271
15,430
15,338
15,238
15,348
16,255
16,201
16,310
16,162
16,263
16,271
16,172
16,282
16,182
16,293
17,193
17,303
17,203
17,313
17,166
17,266
17,278
17,179
17,284
17,185
18,290
18,191
18,296
18,196
18,302
18,203
18,157
18,159
18,155
18,158
19,152
19,154
19,156
19,155
19,158
19,154
19,156
19,153
19,162
19,159
20,159
20,159
20,157
20,157
20,299
20,200
20,307
20,172
20,273
20,284
21,185
21,295
21,196
21,303
21,206
21,367
21,168
21,269
21,275
21,175
22,233
22,182
22,289
22,193
22,297
22,197
22,357
22,258
22,158
22,267
23,169
23,284
23,186
23,244
23,195
23,302
23,203
23,306
23,263
23,165
24,272
24,173
24,279
24,180
24,291
24,192
24,302
24,204
24,313
25,167
24,267
25,282
25,183
25,305
25,288
25,448
25,354
25,255
25,366
26,214
25,316
26,373
26,274
26,175
26,282
26,183
26,291
26,191
26,304
26,204
27,310
27,260
27,161
27,216
27,166
27,271
27,171
27,280
27,181
27,284
28,186
28,292
28,192
28,300
28,202
28,311
28,165
28,266
28,275
28,176
29,287
29,187
29,297
29,198
29,307
29,259
29,160
29,271
29,173
29,232
