Time,Latency
0,167
0,305
0,217
0,283
0,161
0,154
0,161
0,199
0,156
1,155
1,157
1,201
1,167
1,156
1,156
1,204
0,1676
2,158
2,162
2,206
0,1687
2,179
2,160
2,206
1,1685
3,156
3,161
1,1461
3,201
3,164
3,160
3,162
3,157
2,2035
2,1622
2,1723
4,182
4,155
4,207
3,1556
2,1671
4,157
4,153
4,416
4,171
3,1669
5,180
5,192
5,300
5,212
5,156
5,159
5,162
4,1694
6,156
6,159
6,159
4,1460
6,207
5,1060
3,2775
6,175
3,2954
6,204
7,163
7,292
5,2015
7,215
7,166
7,159
7,159
6,1501
7,201
8,159
8,161
8,157
6,1458
8,205
8,166
8,168
7,1387
8,167
8,201
9,155
9,158
9,154
7,1455
9,202
9,156
9,158
9,153
8,1472
9,201
10,158
10,158
8,1460
10,155
10,161
9,1463
11,159
11,164
9,1465
5,5555
6,5028
11,191
11,156
10,1372
11,163
6,5296
11,197
11,257
12,157
10,1386
12,205
12,165
12,166
12,162
11,1463
12,201
13,211
7,5912
13,202
11,1603
13,168
13,158
13,204
12,1662
14,303
14,204
12,1505
14,174
14,159
10,4798
14,198
14,257
13,1670
15,160
15,155
15,158
10,5121
15,174
13,1574
15,177
15,157
10,5299
15,199
15,260
16,204
16,156
14,1418
16,201
16,511
16,212
15,1458
16,205
16,562
17,159
17,158
17,205
15,1638
17,163
17,158
16,1460
17,253
16,1354
18,160
18,153
18,201
16,1667
18,157
18,161
18,198
17,1653
18,160
19,161
19,156
17,1457
19,201
19,158
19,157
17,2817
18,1427
19,202
19,163
20,160
20,158
18,1459
20,297
20,309
20,237
19,1437
10,10205
21,160
21,162
21,159
19,1460
21,203
21,162
21,163
21,156
21,202
20,1602
22,157
22,156
20,1465
22,204
22,160
22,156
22,163
21,1463
22,203
23,214
11,12115
21,1492
23,203
23,156
23,158
23,155
22,1456
23,209
24,163
24,160
24,158
24,206
22,1606
24,159
24,164
23,1465
24,202
11,13754
12,13081
25,181
25,204
23,1662
13,12677
25,178
24,1451
25,202
26,165
26,162
26,155
26,207
24,1607
26,163
26,156
25,1457
26,205
13,14117
26,318
25,1679
27,179
27,159
27,155
26,1494
27,201
28,157
28,153
28,159
26,1460
28,201
28,212
13,15213
27,1390
14,15005
28,253
29,161
29,159
29,204
27,1605
29,158
29,158
29,203
28,1690
14,16110
28,1692
17,13286
29,1422
17,12970
18,12714
19,11515
20,10676
29,1477
20,10825
22,9626
23,8734
23,8635
14,17436
24,7544
25,7045
25,7058
25,6603
25,6804
26,6013
27,5414
27,5584
27,5489
28,4189
28,4294
29,3995
29,3658
